informal_text_inp,normal_text_inp,normal_text_out
<Do you want me to hold seat for you operating room not?>,<Do you want me to reserve seat for you or not?,Do you want me to reserve seat for you or not?>
<Yeap. You reaching? We ordered some Durian pastry dough already. You come quick.>,<Yeap. You reaching? We ordered some Durian pastry already. You come quick.,Yeap. You reaching? We ordered some Durian pastry already. You come quick.>
<They turn more expensive already. Mine be comparable 25. So frightful and they did less things than I get along last prison term.>,<They become more expensive already. Mine is like 25. So horrible and they did less things than I did last time.,They become more expensive already. Mine is like 25. So horrible and they did less things than I did last time.>
<1 ' m Thai. What do you make?>,<I'm Thai. What do you do?,I'm Thai. What do you do?>
<How do you do! How did your week go? Haven ' t heard from you for some metre. How ' s everything?>,<Hi! How did your week go? Haven't heard from you for some time. How's everything?,Hi! How did your week go? Haven't heard from you for some time. How's everything?>
<Haha. Okay. Are you going to mail her? Beaver state do you want maine to answer?>,<Haha. Okay. Are you going to mail her? Or do you want me to reply?,Haha. Okay. Are you going to mail her? Or do you want me to reply?>
<Look for it on the glass board in front of goggle box.>,<Look for it on the glass table in front of TV.,Look for it on the glass table in front of TV.>
"<No, I ' m going to the WRKS with Joule. What about you?>","<No, I'm going to the WRKS with J. What about you?","No, I'm going to the WRKS with J. What about you?>"
"<Lea, so you need to substitute handphone number?>","<Lea, so you want to exchange handphone number?","Lea, so you want to exchange handphone number?>"
"<Okay, fancy you succeeding clock time and so. Will be back in July.>","<Okay, see you next time then. Will be back in July.","Okay, see you next time then. Will be back in July.>"
<I ' ll sports meeting you before the lecture and so.>,<I'll meet you before the lecture then.,I'll meet you before the lecture then.>
"<Hi! Iodine be Ellen, 18 years honest to god, Chinese, from KL. You?>","<Hi! I am Ellen, 18 years old, Chinese, from KL. You?","Hi! I am Ellen, 18 years old, Chinese, from KL. You?>"
"<Gelek, got my message? Help pine tree state to allow buns, okay? Hehe.>","<Gelek, got my message? Help me to reserve seat, okay? Hehe.","Gelek, got my message? Help me to reserve seat, okay? Hehe.>"
<Plenty of old men and guy around 20 plus. Thence sick to message everyday. Single go home and write profiles for you to see. Then where are you working now? In that location? As the receptionist? Wherefore are you like that?>,<Plenty of old men and guys around 20 plus. So sick to message everyday. I go home and write profiles for you to see. Then where are you working now? There? As the receptionist? Why are you like that?,Plenty of old men and guys around 20 plus. So sick to message everyday. I go home and write profiles for you to see. Then where are you working now? There? As the receptionist? Why are you like that?>
"<Yea. One ' yard too heart - broken. Scattered all over, remember? That ' s wherefore I waken up belatedly. Haha, no. I ' m heart - broken but no course. Only 2 twenty four hours. What be you doing now?>","<Yeah. I'm too heart-broken. Scattered everywhere, remember? That's why I woke up late. Haha, no. I'm heart-broken but no course. Only 2 days. What are you doing now?","Yeah. I'm too heart-broken. Scattered everywhere, remember? That's why I woke up late. Haha, no. I'm heart-broken but no course. Only 2 days. What are you doing now?>"
